policy_id,field,class,display_class,count,field_total,proportion
35,interaction_mode,legal_or_enforcement_action,Legal/enforcement,42,5044,0.008326724821570182
35,interaction_mode,request_or_pressure,Request/pressure,28,5044,0.0055511498810467885
35,financial_action_family,cameo_01_make_public_statement,Public statement,2573,5044,0.5101110229976209
35,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,560,5044,0.11102299762093576
35,financial_action_family,other_financial_event,Other financial event,252,5044,0.0499603489294211
35,financial_action_family,legislative_policy_authorization,Legislative authorization,69,5044,0.013679619349722442
35,financial_action_family,business_operations_adjustment,Business operations,149,5044,0.029540047581284694
35,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,71,5044,0.014076130055511499
35,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,187,5044,0.037073750991276765
35,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,421,5044,0.08346550356859635
35,financial_action_family,__other_families__,Other families,762,5044,0.15107057890563044
36,action_type,communication,Communication,151,250,0.604
36,action_type,direct intervention,Direct intervention,86,250,0.344
36,action_type,observed effect,Observed effect,13,250,0.052
36,interaction_mode,communication,Communication,127,250,0.508
36,interaction_mode,material_action,Material action,62,250,0.248
36,interaction_mode,market_or_economic_state,Market/economic state,10,250,0.04
36,interaction_mode,institutional_action,Institutional action,46,250,0.184
36,interaction_mode,other,Other mode,3,250,0.012
36,interaction_mode,intent_or_plan,Intent/plan,0,250,0.0
36,interaction_mode,legal_or_enforcement_action,Legal/enforcement,2,250,0.008
36,interaction_mode,request_or_pressure,Request/pressure,0,250,0.0
36,financial_action_family,cameo_01_make_public_statement,Public statement,124,250,0.496
36,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,5,250,0.02
36,financial_action_family,other_financial_event,Other financial event,5,250,0.02
36,financial_action_family,legislative_policy_authorization,Legislative authorization,54,250,0.216
36,financial_action_family,business_operations_adjustment,Business operations,10,250,0.04
36,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,1,250,0.004
36,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,1,250,0.004
36,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,11,250,0.044
36,financial_action_family,__other_families__,Other families,39,250,0.156
37,action_type,communication,Communication,215,479,0.4488517745302714
37,action_type,direct intervention,Direct intervention,111,479,0.23173277661795408
37,action_type,observed effect,Observed effect,153,479,0.31941544885177453
37,interaction_mode,communication,Communication,201,479,0.4196242171189979
37,interaction_mode,material_action,Material action,97,479,0.20250521920668058
37,interaction_mode,market_or_economic_state,Market/economic state,145,479,0.302713987473904
37,interaction_mode,institutional_action,Institutional action,25,479,0.05219206680584551
37,interaction_mode,other,Other mode,10,479,0.020876826722338204
37,interaction_mode,intent_or_plan,Intent/plan,0,479,0.0
37,interaction_mode,legal_or_enforcement_action,Legal/enforcement,1,479,0.0020876826722338203
37,interaction_mode,request_or_pressure,Request/pressure,0,479,0.0
37,financial_action_family,cameo_01_make_public_statement,Public statement,193,479,0.40292275574112735
37,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,105,479,0.21920668058455114
37,financial_action_family,other_financial_event,Other financial event,36,479,0.07515657620041753
37,financial_action_family,legislative_policy_authorization,Legislative authorization,0,479,0.0
37,financial_action_family,business_operations_adjustment,Business operations,5,479,0.010438413361169102
37,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,3,479,0.006263048016701462
37,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,7,479,0.014613778705636743
37,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,3,479,0.006263048016701462
37,financial_action_family,__other_families__,Other families,127,479,0.2651356993736952
38,action_type,communication,Communication,233,558,0.4175627240143369
38,action_type,direct intervention,Direct intervention,197,558,0.35304659498207885
38,action_type,observed effect,Observed effect,128,558,0.22939068100358423
38,interaction_mode,communication,Communication,187,558,0.33512544802867383
38,interaction_mode,material_action,Material action,145,558,0.25985663082437277
38,interaction_mode,market_or_economic_state,Market/economic state,115,558,0.2060931899641577
38,interaction_mode,institutional_action,Institutional action,28,558,0.05017921146953405
38,interaction_mode,other,Other mode,71,558,0.12724014336917563
38,interaction_mode,intent_or_plan,Intent/plan,1,558,0.0017921146953405018
38,interaction_mode,legal_or_enforcement_action,Legal/enforcement,11,558,0.01971326164874552
38,interaction_mode,request_or_pressure,Request/pressure,0,558,0.0
38,financial_action_family,cameo_01_make_public_statement,Public statement,197,558,0.35304659498207885
38,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,64,558,0.11469534050179211
38,financial_action_family,other_financial_event,Other financial event,85,558,0.15232974910394265
38,financial_action_family,legislative_policy_authorization,Legislative authorization,7,558,0.012544802867383513
38,financial_action_family,business_operations_adjustment,Business operations,32,558,0.05734767025089606
38,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,5,558,0.008960573476702509
38,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,24,558,0.043010752688172046
38,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,18,558,0.03225806451612903
38,financial_action_family,__other_families__,Other families,126,558,0.22580645161290322
39,action_type,communication,Communication,1724,3909,0.4410335124072653
39,action_type,direct intervention,Direct intervention,1314,3909,0.33614735226400616
39,action_type,observed effect,Observed effect,871,3909,0.22281913532872857
39,interaction_mode,communication,Communication,1494,3909,0.3821949347659248
39,interaction_mode,material_action,Material action,1289,3909,0.32975185469429524
39,interaction_mode,market_or_economic_state,Market/economic state,724,3909,0.18521360961882835
39,interaction_mode,institutional_action,Institutional action,243,3909,0.06216423637759018
39,interaction_mode,other,Other mode,138,3909,0.035303146584804296
39,interaction_mode,intent_or_plan,Intent/plan,0,3909,0.0
39,interaction_mode,legal_or_enforcement_action,Legal/enforcement,18,3909,0.004604758250191865
39,interaction_mode,request_or_pressure,Request/pressure,3,3909,0.0007674597083653108
39,financial_action_family,cameo_01_make_public_statement,Public statement,1586,3909,0.40573036582246097
39,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,521,3909,0.13328216935277565
39,financial_action_family,other_financial_event,Other financial event,255,3909,0.06523407521105141
39,financial_action_family,legislative_policy_authorization,Legislative authorization,127,3909,0.03248912765413149
39,financial_action_family,business_operations_adjustment,Business operations,87,3909,0.022256331542594012
39,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,234,3909,0.059861857252494245
39,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,123,3909,0.031465848042977744
39,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,87,3909,0.022256331542594012
39,financial_action_family,__other_families__,Other families,889,3909,0.22742389357892043
40,action_type,communication,Communication,3124,5623,0.555575315667793
40,action_type,direct intervention,Direct intervention,2003,5623,0.35621554330428595
40,action_type,observed effect,Observed effect,496,5623,0.08820914102792105
40,interaction_mode,communication,Communication,2630,5623,0.4677218566601458
40,interaction_mode,material_action,Material action,1708,5623,0.3037524453138894
40,interaction_mode,market_or_economic_state,Market/economic state,368,5623,0.06544549173039303
40,interaction_mode,institutional_action,Institutional action,559,5623,0.0994131246665481
40,interaction_mode,other,Other mode,199,5623,0.03539036101725058
40,interaction_mode,intent_or_plan,Intent/plan,3,5623,0.0005335230304108127
40,interaction_mode,legal_or_enforcement_action,Legal/enforcement,141,5623,0.0250755824293082
40,interaction_mode,request_or_pressure,Request/pressure,15,5623,0.0026676151520540637
40,financial_action_family,cameo_01_make_public_statement,Public statement,2807,5623,0.4991997154543838
40,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,187,5623,0.03325626889560733
40,financial_action_family,other_financial_event,Other financial event,203,5623,0.03610172505779833
40,financial_action_family,legislative_policy_authorization,Legislative authorization,599,5623,0.1065267650720256
40,financial_action_family,business_operations_adjustment,Business operations,185,5623,0.032900586875333454
40,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,718,5623,0.12768984527832117
40,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,85,5623,0.015116485861639694
40,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,133,5623,0.0236528543482127
40,financial_action_family,__other_families__,Other families,706,5623,0.12555575315667794
41,action_type,communication,Communication,907,1681,0.5395597858417609
41,action_type,direct intervention,Direct intervention,595,1681,0.3539559785841761
41,action_type,observed effect,Observed effect,179,1681,0.10648423557406306
41,interaction_mode,communication,Communication,795,1681,0.4729327781082689
41,interaction_mode,material_action,Material action,415,1681,0.24687685901249257
41,interaction_mode,market_or_economic_state,Market/economic state,138,1681,0.08209399167162404
41,interaction_mode,institutional_action,Institutional action,223,1681,0.13265913146936348
41,interaction_mode,other,Other mode,51,1681,0.030339083878643664
41,interaction_mode,intent_or_plan,Intent/plan,6,1681,0.003569303985722784
41,interaction_mode,legal_or_enforcement_action,Legal/enforcement,42,1681,0.024985127900059488
41,interaction_mode,request_or_pressure,Request/pressure,11,1681,0.006543723973825104
41,financial_action_family,cameo_01_make_public_statement,Public statement,843,1681,0.5014872099940512
41,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,74,1681,0.044021415823914334
41,financial_action_family,other_financial_event,Other financial event,48,1681,0.028554431885782272
41,financial_action_family,legislative_policy_authorization,Legislative authorization,230,1681,0.13682331945270673
41,financial_action_family,business_operations_adjustment,Business operations,18,1681,0.010707911957168352
41,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,310,1681,0.18441403926234384
41,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,28,1681,0.01665675193337299
41,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,12,1681,0.007138607971445568
41,financial_action_family,__other_families__,Other families,118,1681,0.07019631171921475
