policy_id,observed_news_days,keyword_count,origin_news_total,raw_mean_per_observed_day,raw_p10_per_observed_day,raw_q25_per_observed_day,raw_median_per_observed_day,raw_q75_per_observed_day,raw_p90_per_observed_day,raw_p95_per_observed_day,raw_maximum_per_observed_day,mean_per_keyword_day,p10_per_keyword_day,q25_per_keyword_day,median_per_keyword_day,q75_per_keyword_day,p90_per_keyword_day,p95_per_keyword_day,maximum_per_keyword_day,fraction_per_keyword_at_or_below_cap
21,49,5,488,9.959183673469388,2.0,2.0,2.0,6.0,15.600000000000009,64.39999999999958,94,1.9918367346938777,0.4,0.4,0.4,1.2,3.120000000000002,12.879999999999916,18.8,1.0
22,74,5,433,5.851351351351352,2.0,4.0,4.0,8.0,11.0,12.699999999999989,18,1.17027027027027,0.4,0.8,0.8,1.6,2.2,2.5399999999999974,3.6,1.0
23,12,5,34,2.8333333333333335,2.0,2.0,2.0,4.0,4.0,4.899999999999999,6,0.5666666666666668,0.4,0.4,0.4,0.8,0.8,0.9799999999999998,1.2,1.0
24,101,10,340,3.366336633663366,2.0,2.0,2.0,4.0,6.0,8.0,16,0.33663366336633666,0.2,0.2,0.2,0.4,0.6,0.8,1.6,1.0
25,40,10,143,3.575,2.0,2.0,2.0,4.0,6.200000000000003,10.0,10,0.35750000000000004,0.2,0.2,0.2,0.4,0.6200000000000002,1.0,1.0,1.0
26,48,9,163,3.3958333333333335,2.0,2.0,2.0,2.0,6.0,7.299999999999997,34,0.3773148148148148,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.8111111111111108,3.7777777777777777,1.0
27,275,10,941,3.421818181818182,1.0,2.0,3.0,4.0,6.0,8.0,17,0.3421818181818182,0.1,0.2,0.3,0.4,0.6,0.8,1.7,1.0
28,28,11,91,3.25,2.0,2.0,2.0,3.25,6.300000000000001,7.649999999999999,12,0.29545454545454547,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2954545454545454,0.5727272727272728,0.6954545454545453,1.0909090909090908,1.0
29,74,10,736,9.945945945945946,2.0,4.0,6.0,11.75,24.700000000000003,33.74999999999997,47,0.9945945945945945,0.2,0.4,0.6,1.175,2.47,3.3749999999999973,4.7,1.0
30,77,11,387,5.025974025974026,2.0,2.0,4.0,7.0,10.0,12.400000000000006,16,0.45690672963400236,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.6363636363636364,0.9090909090909091,1.1272727272727276,1.4545454545454546,1.0
31,118,11,1269,10.754237288135593,1.700000000000001,3.25,6.0,9.0,14.299999999999997,18.449999999999974,386,0.9776579352850538,0.15454545454545465,0.2954545454545454,0.5454545454545454,0.8181818181818182,1.2999999999999996,1.677272727272725,35.09090909090909,0.9915254237288136
32,98,10,1377,14.051020408163266,2.0,6.0,10.5,20.75,27.0,43.14999999999999,58,1.4051020408163264,0.2,0.6,1.05,2.075,2.7,4.314999999999999,5.8,1.0
33,144,10,994,6.902777777777778,2.0,3.0,5.5,9.0,14.0,19.0,36,0.6902777777777778,0.2,0.3,0.55,0.9,1.4,1.9,3.6,1.0
34,183,11,1876,10.251366120218579,2.0,3.0,6.0,8.0,14.0,20.80000000000001,173,0.9319423745653254,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.7272727272727273,1.2727272727272727,1.890909090909092,15.727272727272727,1.0
35,294,11,2405,8.180272108843537,2.0,3.25,6.0,11.75,17.0,21.699999999999932,48,0.7436611008039579,0.18181818181818182,0.2954545454545454,0.5454545454545454,1.0681818181818181,1.5454545454545454,1.9727272727272664,4.363636363636363,1.0
36,16,11,227,14.1875,2.0,2.0,9.0,17.75,30.5,41.75,65,1.2897727272727273,0.18181818181818182,0.18181818181818182,0.8181818181818182,1.6136363636363638,2.7727272727272725,3.7954545454545454,5.909090909090909,1.0
